站号,站名,省名,纬度,经度,海拔高度,日照时数,日照距平,同期对比,历史值,去年值
50136,漠河,黑龙江,52.9667,122.5167,433,7.50,2.40,2.20,5.10,5.30
50137,北极村,黑龙江,53.4667,122.3667,296,6.70,32766,0,32766,6.70
50246,塔河,黑龙江,52.35,124.7167,361.90,7.20,1.40,-0.10,5.80,7.30
50247,呼中,黑龙江,52.0333,123.5667,514.50,6.40,0.50,0.40,5.90,6
50349,新林,黑龙江,51.6667,124.40,501.50,7.70,1.70,0.40,6,7.30
50353,呼玛,黑龙江,51.7333,126.6333,173.90,7.40,1.90,-0.40,5.50,7.80
50425,额尔古纳市,内蒙古,50.25,120.1833,581.40,7.40,0.70,1.50,6.70,5.90
50431,根河市,内蒙古,50.7833,121.5167,717,7.30,1.30,0.80,6,6.50
50434,图里河,内蒙古,50.4833,121.6833,732.60,7.90,1.80,0.50,6.10,7.40
50442,加格达奇,黑龙江,50.40,124.1167,371.70,8,1.70,-0.10,6.30,8.10
50445,鄂伦春自治旗,内蒙古,50.5833,123.7333,423.70,7.50,1.40,0.30,6.10,7.20
50468,爱辉,黑龙江,50.25,127.45,166.40,7.30,1.10,0.10,6.20,7.20
50514,满洲里,内蒙古,49.5833,117.3167,661.80,8.30,1.10,0.30,7.20,8
50524,陈巴尔虎旗,内蒙古,49.3167,119.4333,576.60,7.50,0.30,0.60,7.20,6.90
50525,鄂温克族自治旗,内蒙古,49.15,119.75,620.80,7.80,0.80,0.40,7,7.40
50526,牙克石市,内蒙古,49.2833,120.70,668.80,7.50,1.30,-0.30,6.20,7.80
50527,海拉尔,内蒙古,49.25,119.70,649.60,7.30,1.30,-0.80,6,8.10
50548,小二沟,内蒙古,49.20,123.7167,286.10,7.30,0.60,0.50,6.70,6.80
50557,嫩江,黑龙江,49.1667,125.2333,242.20,8.10,1.60,0.40,6.50,7.70
50564,孙吴,黑龙江,49.4333,127.35,234.50,6.80,0.70,-0.60,6.10,7.40
50566,逊克,黑龙江,49.55,128.4667,116,7.70,1.70,0.10,6,7.60
50603,新巴尔虎右旗,内蒙古,48.6667,116.8167,554.20,7.70,0.60,0.10,7.10,7.60
50618,新巴尔虎左旗,内蒙古,48.2167,118.2667,642,6.80,0.20,0.20,6.60,6.60
50632,博克图,内蒙古,48.7667,121.9167,739.70,8.10,0.50,0.40,7.60,7.70
50639,扎兰屯,内蒙古,48,122.7333,306.50,7.60,0.50,0,7.10,7.60
50645,莫力达瓦达斡尔族自治旗,内蒙古,48.4833,124.4833,195,8,1.60,-0.10,6.40,8.10
50646,讷河,黑龙江,48.4833,124.85,202.80,7.60,0.70,0.80,6.90,6.80
50647,阿荣旗,内蒙古,48.1333,123.4833,236.20,7.60,1.60,-0.40,6,8
50655,五大连池,黑龙江,48.50,126.1833,266.80,7.70,1,0.40,6.70,7.30
50656,北安,黑龙江,48.2667,126.50,277.10,7.60,1.60,0.10,6,7.50
50658,克山,黑龙江,48.05,125.8833,236,7.80,1.20,0.30,6.60,7.50
50659,克东,黑龙江,48.0333,126.25,291.80,8.30,1.80,0.50,6.50,7.80
50673,嘉荫,黑龙江,48.8833,130.40,90.40,8.80,3.40,8.80,5.40,0
50674,乌伊岭,黑龙江,48.5667,129.4333,404.50,7.20,1.60,0,5.60,7.20
50727,阿尔山,内蒙古,47.1667,119.9333,997.20,7.60,0.50,0,7.10,7.60
50739,龙江,黑龙江,47.3333,123.1833,190,8.40,1.80,0.20,6.60,8.20
50741,甘南,黑龙江,47.9333,123.50,185.20,8.70,1.60,0.10,7.10,8.60
50742,富裕,黑龙江,47.80,124.4833,162.70,7.60,1,-0.60,6.60,8.20
50745,齐齐哈尔,黑龙江,47.3833,123.9167,147.10,8.60,1.50,0.30,7.10,8.30
50749,林甸,黑龙江,47.1833,124.8333,154.60,7.60,1.30,-0.30,6.30,7.90
50750,依安,黑龙江,47.90,125.30,226.40,8.10,1.30,-0.10,6.80,8.20
50755,拜泉,黑龙江,47.60,126.10,230.70,7.90,2.10,-0.30,5.80,8.20
50756,海伦,黑龙江,47.45,126.9667,239.20,6.50,0.20,-0.80,6.30,7.30
50758,明水,黑龙江,47.1833,125.90,246,6.70,0.20,-1.10,6.50,7.80
50767,绥棱,黑龙江,47.2333,127.10,202.70,8.10,1.40,1.30,6.70,6.80
50772,五营,黑龙江,48.10,129.2333,288,7.70,2.80,0.90,4.90,6.80
50774,伊春,黑龙江,47.70,128.8333,264.80,7.70,2.20,0.50,5.50,7.20
50775,鹤岗,黑龙江,47.3333,130.2667,227.90,7.60,1.40,-0.30,6.20,7.90
50776,萝北,黑龙江,47.5667,130.8333,83.30,8.10,1.50,0,6.60,8.10
50778,同江,黑龙江,47.6667,132.5333,57.50,7.80,2,0.90,5.80,6.90
50779,抚远,黑龙江,48.3667,134.2833,40,7.70,1.80,0.80,5.90,6.90
50787,绥滨,黑龙江,47.2833,131.85,61.80,8.50,1.70,-0.20,6.80,8.70
50788,富锦,黑龙江,47.2333,131.9833,66.40,8.20,2.20,-0.20,6,8.40
50832,胡尔勒,内蒙古,46.7167,122.0833,332.60,8.40,0.50,0.10,7.90,8.30
50833,扎赉特旗,内蒙古,46.7167,122.90,187.80,7.70,0.60,0.70,7.10,7
50834,索伦,内蒙古,46.60,121.2167,499.70,8.10,0.50,-0.40,7.60,8.50
50838,乌兰浩特,内蒙古,46.0833,122.05,274.70,8.20,0.80,-0.30,7.40,8.50
50842,杜蒙,黑龙江,46.8333,124.4167,145.40,6.20,-0.10,-1.80,6.30,8
50844,泰来,黑龙江,46.40,123.45,138.80,7.70,0.60,-0.40,7.10,8.10
50850,大庆,黑龙江,46.5667,125.1333,147.20,7.50,32766,-0.30,32766,7.80
50851,青冈,黑龙江,46.6833,126.0833,207.40,8.20,1.50,0.30,6.70,7.90
50852,望奎,黑龙江,46.8333,126.45,169.10,6.80,0.40,-0.60,6.40,7.40
50853,北林,黑龙江,46.6167,126.9667,179.60,6.80,0.20,0.30,6.60,6.50
50854,安达,黑龙江,46.3833,125.3167,149.30,7.30,0.80,-0.30,6.50,7.60
50858,肇东,黑龙江,46.0667,125.9333,135,8.10,2,1,6.10,7.10
50859,兰西,黑龙江,46.25,126.2667,159.10,7,0.70,-0.60,6.30,7.60
50861,庆安,黑龙江,46.8833,127.4833,184.80,8.10,1.90,0.50,6.20,7.60
50862,铁力,黑龙江,46.9833,127.9833,206,7.80,2.40,0,5.40,7.80
50867,巴彦,黑龙江,46.0833,127.35,134.10,8.80,2.40,2.20,6.40,6.60
50871,汤原,黑龙江,46.7333,129.8833,95.10,8,1.50,-0.30,6.50,8.30
50873,佳木斯,黑龙江,46.7833,130.30,82,8,2.30,-0.20,5.70,8.20
50877,依兰,黑龙江,46.30,129.5833,100.10,4.10,-1.60,1.60,5.70,2.50
50878,桦川,黑龙江,47,130.7167,78.20,6.90,1.40,-0.40,5.50,7.30
50879,桦南,黑龙江,46.2167,130.55,187,7.70,1.90,-0.10,5.80,7.80
50880,集贤,黑龙江,46.7333,131.1167,102.30,0,-6.70,-7.90,6.70,7.90
50881,友谊,黑龙江,46.47,131.47,-999999,7.80,32766,32766,32766,32766
50884,双鸭山,黑龙江,46.6333,131.15,175.30,7.60,1.20,0,6.40,7.60
50888,宝清,黑龙江,46.3167,132.1833,83,7.80,1.90,-0.40,5.90,8.20
50892,饶河,黑龙江,46.80,134,54.40,8,2,0.10,6,7.90
50913,乌拉盖,内蒙古,45.7167,118.8333,865,8.60,0.90,0.60,7.70,8
50915,东乌珠穆沁,内蒙古,45.5167,116.9667,838.70,8.20,0.40,1.20,7.80,7
50924,霍林郭勒,内蒙古,45.5333,119.6667,823.70,7.60,32766,0.40,32766,7.20
50928,巴雅尔吐胡硕,内蒙古,45.0667,120.3333,628.30,8.80,0.50,0,8.30,8.80
50934,突泉,内蒙古,45.3833,121.5833,311.70,8.40,0.50,-0.40,7.90,8.80
50936,白城,吉林,45.6333,122.8333,155.30,8.60,0.70,0.30,7.90,8.30
50937,科尔沁右翼中旗,内蒙古,45.05,121.4667,249.90,8.70,0.60,0,8.10,8.70
50939,洮南,吉林,45.3333,122.8167,150.80,8.20,0.90,0.60,7.30,7.60
50940,镇赉,吉林,45.85,123.1667,141.10,8.10,0.30,-0.10,7.80,8.20
50945,大安,吉林,45.50,124.2667,137.60,6.60,-0.70,-1.80,7.30,8.40
50946,松原,吉林,45.1833,124.8333,139.80,7.40,0.70,-0.30,6.70,7.70
50948,乾安,吉林,45,124.0167,146.30,6.90,0.20,-0.30,6.70,7.20
50949,前郭,吉林,45.0833,124.8667,136.20,6.60,0.20,-1,6.40,7.60
50950,肇州,黑龙江,45.70,125.25,148.70,7.80,0.60,-0.30,7.20,8.10
50953,哈尔滨,黑龙江,45.9333,126.5667,118.30,6.90,1.80,-0.10,5.10,7
50954,肇源,黑龙江,45.50,125.0833,127.50,7.50,0.80,-0.30,6.70,7.80
50955,双城,黑龙江,45.3833,126.30,166.40,8.20,1.30,0.30,6.90,7.90
50956,呼兰,黑龙江,46.0833,126.7667,134.50,6.70,0.50,0.10,6.20,6.60
50958,阿城,黑龙江,45.5167,126.95,174.30,7.80,1.50,0.30,6.30,7.50
50960,宾县,黑龙江,45.7833,127.45,192.20,8.30,1.70,0.10,6.60,8.20
50962,木兰,黑龙江,45.95,128.0333,112.10,6.10,0.80,0,5.30,6.10
50963,通河,黑龙江,45.9667,128.7333,108.60,8.20,2.30,0.20,5.90,8
50964,方正,黑龙江,45.8333,128.80,119.30,6.60,1.10,0.50,5.50,6.10
50965,延寿,黑龙江,45.45,128.2833,155.30,7,1.40,-0.60,5.60,7.60
50968,尚志,黑龙江,45.2167,127.9667,189.70,6.20,0.40,-1.50,5.80,7.70
50971,七台河,黑龙江,45.7667,131.0167,223.50,0,32766,-6.50,32766,6.50
50973,勃利,黑龙江,45.75,130.60,234.40,2.10,-4.10,-5.10,6.20,7.20
50978,鸡西,黑龙江,45.30,130.9167,272.50,6.80,0.30,-1.30,6.50,8.10
50979,林口,黑龙江,45.2667,130.2333,274.70,6.30,-0.10,-1.40,6.40,7.70
50983,虎林,黑龙江,45.7667,132.9667,100.20,8.20,2.20,-0.50,6,8.70
50985,密山,黑龙江,45.55,131.8667,151.70,6.90,0.90,-0.90,6,7.80
50987,鸡东,黑龙江,45.2667,131.10,219.90,5.70,0,-2.20,5.70,7.90
51053,哈巴河,新疆,48.05,86.40,532.60,7.70,2.20,-0.40,5.50,8.10
51058,阿克达拉,新疆,47.10,87.9667,563.30,7.70,2.40,0.10,5.30,7.60
51059,吉木乃,新疆,47.4333,85.8667,984.10,7.50,1.80,-0.30,5.70,7.80
51060,布尔津,新疆,47.70,86.8667,473.90,7.20,1.90,0.80,5.30,6.40
51068,福海,新疆,47.1167,87.4667,500.90,6.20,0.40,1.40,5.80,4.80
51076,阿勒泰,新疆,47.7333,88.0833,735.30,7.70,1.70,-0.10,6,7.80
51087,富蕴,新疆,46.9833,89.5167,807.50,7.10,0.90,0,6.20,7.10
51133,塔城,新疆,46.7333,83,534.90,6.40,0.50,6.40,5.90,0
51137,裕民,新疆,46.20,82.9333,715.40,6.80,0.90,6.80,5.90,0
51145,额敏,新疆,46.55,83.65,521.60,7.60,2.10,5,5.50,2.60
51156,和布克赛尔,新疆,46.7833,85.7167,1291.60,7.60,1.20,2,6.40,5.60
51186,青河,新疆,46.6667,90.3833,1218.20,7.90,1.50,0.50,6.40,7.40
51232,阿拉山口,新疆,45.1833,82.5667,336.10,6.30,1.70,6.30,4.60,0
51238,博乐,新疆,44.90,82.0667,531.90,6.80,1.20,6.80,5.60,0
51241,托里,新疆,45.9333,83.60,1077.80,8.20,3,4.30,5.20,3.90
51243,克拉玛依,新疆,45.6167,84.85,449.50,6.60,1.80,6.60,4.80,0
51288,北塔山,新疆,45.3667,90.5333,1653.70,7.50,1,0,6.50,7.50
51328,霍尔果斯,新疆,44.20,80.4167,770.90,5.70,0.70,5.70,5,0
51329,霍城,新疆,44.05,80.85,640,6.10,1.40,6.10,4.70,0
51330,温泉,新疆,44.9667,81.0167,1357.80,7.90,1.50,3.30,6.40,4.60
51334,精河,新疆,44.60,82.90,318.60,5.70,1.30,5.70,4.40,0
51346,乌苏,新疆,44.4333,84.6667,478.70,5.10,1.10,5.10,4,0
51352,炮台,新疆,44.85,85.25,337.10,5.20,0.60,5.20,4.60,0
51353,莫索湾,新疆,45.0167,86.10,346,5.50,0.60,5.50,4.90,0
51356,石河子,新疆,44.3167,86.05,442.90,4.50,0.40,4.50,4.10,0
51357,沙湾,新疆,44.3333,85.6167,522.20,4.30,-1,4.30,5.30,0
51358,乌兰乌苏,新疆,44.2833,85.8167,468.50,6.70,1.50,6.70,5.20,0
51359,玛纳斯,新疆,44.3167,86.20,471.40,2.70,-2.10,2.70,4.80,0
51365,蔡家湖,新疆,44.20,87.5333,440.50,2.20,-2.30,2.20,4.50,0
51367,呼图壁,新疆,44.1333,86.8167,522.10,5.60,0.60,5.60,5,0
51368,昌吉,新疆,44.1167,87.3167,515.70,4.90,32766,4.90,32766,0
51369,米泉,新疆,43.9667,87.65,600.30,2.10,-1.10,2.10,3.20,0
51377,阜康,新疆,44.1667,87.9167,547,0,-3.70,0,3.70,0
51378,吉木萨尔,新疆,44.0167,89.1667,734.90,0,-4.70,0,4.70,0
51379,奇台,新疆,44.0167,89.5667,793.50,4.50,-0.50,4.50,5,0
51430,察布查尔,新疆,43.8333,81.15,602.60,0,-4.60,0,4.60,0
51431,伊宁,新疆,43.95,81.3333,662.50,3.30,-1.50,3.30,4.80,0
51433,尼勒克,新疆,43.80,82.5167,1105.30,0.50,-4.10,0.50,4.60,0
51434,伊宁县,新疆,43.9667,81.5333,770,0,-4.20,0,4.20,0
51435,巩留,新疆,43.4667,82.2333,774.90,0.60,-4.20,0.60,4.80,0
51436,新源,新疆,43.45,83.30,928.20,1.70,-3.20,-1.20,4.90,2.90
51437,昭苏,新疆,43.15,81.1333,1851,2,-3.70,2,5.70,0
51438,特克斯,新疆,43.1833,81.7667,1210.40,0,-5.10,0,5.10,0
51463,乌鲁木齐,新疆,43.7833,87.65,935,6.20,3,6.20,3.20,0
51465,小渠子,新疆,43.4833,87.10,1871.80,4.20,0,3.40,4.20,0.80
51467,巴仑台,新疆,42.7667,86.3333,1732.40,4.70,0,-0.50,4.70,5.20
51469,乌鲁木齐牧试站,新疆,43.45,87.1833,1930,5.60,0.10,0.90,5.50,4.70
51470,天池,新疆,43.8833,88.1167,1942.50,6.70,1.30,0.10,5.40,6.60
51477,达坂城,新疆,43.35,88.3167,1103.50,6.10,-0.60,1.50,6.70,4.60
51482,木垒,新疆,43.8333,90.2833,1271.50,6.10,-0.20,6.10,6.30,0
