站号,站名,省名,纬度,经度,海拔高度,日照时数,日期
50136,漠河,黑龙江,52.9667,122.5167,433,7.50,2017/1/29 0:00:00
50137,北极村,黑龙江,53.4667,122.3667,296,6.70,2017/1/29 0:00:00
50246,塔河,黑龙江,52.35,124.7167,361.90,7.20,2017/1/29 0:00:00
50247,呼中,黑龙江,52.0333,123.5667,514.50,6.40,2017/1/29 0:00:00
50349,新林,黑龙江,51.6667,124.40,501.50,7.70,2017/1/29 0:00:00
50353,呼玛,黑龙江,51.7333,126.6333,173.90,7.40,2017/1/29 0:00:00
50425,额尔古纳市,内蒙古,50.25,120.1833,581.40,7.40,2017/1/29 0:00:00
50431,根河市,内蒙古,50.7833,121.5167,717,7.30,2017/1/29 0:00:00
50434,图里河,内蒙古,50.4833,121.6833,732.60,7.90,2017/1/29 0:00:00
50442,加格达奇,黑龙江,50.40,124.1167,371.70,8,2017/1/29 0:00:00
50445,鄂伦春自治旗,内蒙古,50.5833,123.7333,423.70,7.50,2017/1/29 0:00:00
50468,爱辉,黑龙江,50.25,127.45,166.40,7.30,2017/1/29 0:00:00
50514,满洲里,内蒙古,49.5833,117.3167,661.80,8.30,2017/1/29 0:00:00
50524,陈巴尔虎旗,内蒙古,49.3167,119.4333,576.60,7.50,2017/1/29 0:00:00
50525,鄂温克族自治旗,内蒙古,49.15,119.75,620.80,7.80,2017/1/29 0:00:00
50526,牙克石市,内蒙古,49.2833,120.70,668.80,7.50,2017/1/29 0:00:00
50527,海拉尔,内蒙古,49.25,119.70,649.60,7.30,2017/1/29 0:00:00
50548,小二沟,内蒙古,49.20,123.7167,286.10,7.30,2017/1/29 0:00:00
50557,嫩江,黑龙江,49.1667,125.2333,242.20,8.10,2017/1/29 0:00:00
50564,孙吴,黑龙江,49.4333,127.35,234.50,6.80,2017/1/29 0:00:00
50566,逊克,黑龙江,49.55,128.4667,116,7.70,2017/1/29 0:00:00
50603,新巴尔虎右旗,内蒙古,48.6667,116.8167,554.20,7.70,2017/1/29 0:00:00
50618,新巴尔虎左旗,内蒙古,48.2167,118.2667,642,6.80,2017/1/29 0:00:00
50632,博克图,内蒙古,48.7667,121.9167,739.70,8.10,2017/1/29 0:00:00
50639,扎兰屯,内蒙古,48,122.7333,306.50,7.60,2017/1/29 0:00:00
50645,莫力达瓦达斡尔族自治旗,内蒙古,48.4833,124.4833,195,8,2017/1/29 0:00:00
50646,讷河,黑龙江,48.4833,124.85,202.80,7.60,2017/1/29 0:00:00
50647,阿荣旗,内蒙古,48.1333,123.4833,236.20,7.60,2017/1/29 0:00:00
50655,五大连池,黑龙江,48.50,126.1833,266.80,7.70,2017/1/29 0:00:00
50656,北安,黑龙江,48.2667,126.50,277.10,7.60,2017/1/29 0:00:00
50658,克山,黑龙江,48.05,125.8833,236,7.80,2017/1/29 0:00:00
50659,克东,黑龙江,48.0333,126.25,291.80,8.30,2017/1/29 0:00:00
50673,嘉荫,黑龙江,48.8833,130.40,90.40,8.80,2017/1/29 0:00:00
50674,乌伊岭,黑龙江,48.5667,129.4333,404.50,7.20,2017/1/29 0:00:00
50727,阿尔山,内蒙古,47.1667,119.9333,997.20,7.60,2017/1/29 0:00:00
50739,龙江,黑龙江,47.3333,123.1833,190,8.40,2017/1/29 0:00:00
50741,甘南,黑龙江,47.9333,123.50,185.20,8.70,2017/1/29 0:00:00
50742,富裕,黑龙江,47.80,124.4833,162.70,7.60,2017/1/29 0:00:00
50745,齐齐哈尔,黑龙江,47.3833,123.9167,147.10,8.60,2017/1/29 0:00:00
50749,林甸,黑龙江,47.1833,124.8333,154.60,7.60,2017/1/29 0:00:00
50750,依安,黑龙江,47.90,125.30,226.40,8.10,2017/1/29 0:00:00
50755,拜泉,黑龙江,47.60,126.10,230.70,7.90,2017/1/29 0:00:00
50756,海伦,黑龙江,47.45,126.9667,239.20,6.50,2017/1/29 0:00:00
50758,明水,黑龙江,47.1833,125.90,246,6.70,2017/1/29 0:00:00
50767,绥棱,黑龙江,47.2333,127.10,202.70,8.10,2017/1/29 0:00:00
50772,五营,黑龙江,48.10,129.2333,288,7.70,2017/1/29 0:00:00
50774,伊春,黑龙江,47.70,128.8333,264.80,7.70,2017/1/29 0:00:00
50775,鹤岗,黑龙江,47.3333,130.2667,227.90,7.60,2017/1/29 0:00:00
50776,萝北,黑龙江,47.5667,130.8333,83.30,8.10,2017/1/29 0:00:00
50778,同江,黑龙江,47.6667,132.5333,57.50,7.80,2017/1/29 0:00:00
