站号,站名,省名,纬度,经度,海拔高度,降水量,降水距平,同期对比,历史值,同期值
50136,漠河,黑龙江,52.9667,122.5167,433,0,0,0,0,0
50137,北极村,黑龙江,53.4667,122.3667,296,0,32766,0,32766,0
50246,塔河,黑龙江,52.35,124.7167,361.90,0,0,0,0,0
50247,呼中,黑龙江,52.0333,123.5667,514.50,0,0,0,0,0
50349,新林,黑龙江,51.6667,124.40,501.50,0,0,0,0,0
50353,呼玛,黑龙江,51.7333,126.6333,173.90,0,0,0,0,0
50425,额尔古纳市,内蒙古,50.25,120.1833,581.40,0,0,0,0,0
50431,根河市,内蒙古,50.7833,121.5167,717,0,0,0,0,0
50434,图里河,内蒙古,50.4833,121.6833,732.60,0,0,0,0,0
50442,加格达奇,黑龙江,50.40,124.1167,371.70,0,0,0,0,0
50445,鄂伦春自治旗,内蒙古,50.5833,123.7333,423.70,0,0,0,0,0
50468,爱辉,黑龙江,50.25,127.45,166.40,0,0,0,0,0
50514,满洲里,内蒙古,49.5833,117.3167,661.80,0,0,0,0,0
50524,陈巴尔虎旗,内蒙古,49.3167,119.4333,576.60,0,0,0,0,0
50525,鄂温克族自治旗,内蒙古,49.15,119.75,620.80,0,0,0,0,0
50526,牙克石市,内蒙古,49.2833,120.70,668.80,0,0,0,0,0
50527,海拉尔,内蒙古,49.25,119.70,649.60,0,0,0,0,0
50548,小二沟,内蒙古,49.20,123.7167,286.10,0,0,0,0,0
50557,嫩江,黑龙江,49.1667,125.2333,242.20,0,0,0,0,0
50564,孙吴,黑龙江,49.4333,127.35,234.50,0,0,0,0,0
50566,逊克,黑龙江,49.55,128.4667,116,0,0,0,0,0
50603,新巴尔虎右旗,内蒙古,48.6667,116.8167,554.20,0,0,0,0,0
50618,新巴尔虎左旗,内蒙古,48.2167,118.2667,642,0,0,0,0,0
50632,博克图,内蒙古,48.7667,121.9167,739.70,0,0,0,0,0
50639,扎兰屯,内蒙古,48,122.7333,306.50,0,0,0,0,0
50645,莫力达瓦达斡尔族自治旗,内蒙古,48.4833,124.4833,195,0,0,0,0,0
50646,讷河,黑龙江,48.4833,124.85,202.80,0,0,0,0,0
50647,阿荣旗,内蒙古,48.1333,123.4833,236.20,0,0,0,0,0
50655,五大连池,黑龙江,48.50,126.1833,266.80,0,0,0,0,0
